id,total_comments,total_replies_received
@israelgalerinha3836,1,0
@alinealves8835,1,1
@kahcardoso03,1,3
@obselete667,2,0
@ClaraMuniz-i2i,5,0
@philipjonathan286,1,0
@fatimaruas2815,1,0
@sheilapolanah6676,1,0
@vivianemantovaniRJ,1,0
@debrisoliveira,1,0
@henriquetelles9392,1,0
@StellaPereiraCândido,1,1
@Angelica-d9k9q,1,0
@Pablofitness258,1,0
@the.me.s,2,0
@DanielyMaria-j3s,1,0
@bianchessi0,1,0
@AuroraBeatriz-w6v,1,0
@erikaproton,1,0
@natashapauline8009,1,0
@celebrandoa_vida,2,0
@CachorrinhosdaIA,1,0
@DaniloPereira-y5j,1,0
@rodrigobologhese7335,1,0
@claumachado5088,1,0
@EsthevãoLoamy,1,0
@andreiaandrade8935,1,0
@vitortiotonho,1,0
@ianferreira8581,1,0
@gilzobalbinoJunior,1,2
@GeoHell01,0,0
@tjmrodriguez,1,0
@EXTREMEDASEDITS,1,0
@Thalessavsilveira,1,0
@josineideangela,1,0
@rip97-q7i,1,0
@Rebecaquirino1,1,0
@Lorena-q4f9k,1,0
@matheussalustriano689,1,0
@0062ism,1,0
@TeresagoesgmailcomTeka,1,0
@AndressaBarros-z9d,1,0
@elisaaidar,1,0
@prismaketry,1,0
@gama_paladino,1,0
@GuilhermeEsteves-o6x,1,1
@inotdanielrienzo__,0,0
@finalmentefluente7577,1,0
@alexalves4733,14,9
@denisdias1350,1,0
@gabrielalvaresjulio9340,1,0
@CartasGaby777,1,0
@henriquealmeida7346,1,0
@taycarvalho9378,1,0
@lucaseduardo5698,1,0
@Deustevê,1,0
@NanyTricysouza,1,0
@andreiaalves9433,1,0
@main_griff,1,0
@andreayanes7547,1,0
@tomasbotia,1,0
@canaldomatador4056,1,0
@erickfrancaporto1441,1,0
@Ptk_021,1,0
@elvisdasilvasouza6581,1,0
@giovannaolivdesa,1,0
@InfinityGraff,4,0
@wedzAA1,1,0
@Zeferinopaulo-b5d,2,0
@ThiagoAgenor-dw6sm,5,3
@ernestocruz238,0,0
@EmillyGabriele-j7q,1,0
@DaviLucasAlvesdeSouza-v1i,1,0
@suerdamelo8148,1,0
@DOUTORHONESTO,1,0
@MuscleFanboy1969,1,0
@gleydin,1,0
@ivanildelima2032,1,0
@br3nno_L1maYtt,1,0
@JOAOVICTORCONCEICAODEBORBA,1,5
@LeicesterForest-kd9sg,0,0
@sbeveuh6166,0,0
@BananaminionZB,1,0
@vitorsantos861,1,0
@Medicioner,1,1
@wewee666,0,0
@vitoriaramalho3216,1,0
@J.AdailsonFCarneiro,1,0
@TrajanoNetoTn,2,0
@Mirilaine-m7u,1,0
@FrancielecruzFS,1,1
@Off_sam7,1,0
@LorenzoSilvaFX,1,0
@EtelvinaLacerda,2,0
@thiagojosedaluzjose4889,1,0
@Hungrygirlouesfomeada,1,2
@sigrun1005,0,0
@ritapimenta799,1,0
@dalvacosta6679,1,0
@patricias.8781,1,0
@PVArobloxofficial,1,0
@KelvinNoetzold,1,0
@Isabellyfoggiato,1,0
@Marquinhos-h6t,1,0
@venenosatv2417,1,0
@xgreninjax8052,1,0
@benascimento,1,0
@brancamalungo,1,0
@armandojalves,1,2
@gamer25gm33,0,0
@DaviVitale,1,0
@IFMiaMeows,1,0
@josecleidedourado4086,1,0
@naldosimplicio4025,1,0
@yosefbatistamoreira1780,1,0
@luisgustavoalmeida5504,1,0
@dudafsw,1,0
@CronistadoInvisível,1,3
@capivarastudiosofficial9851,0,0
@Felipe69140,0,0
@DinivaldaNascimento,1,1
@anamacedo3912,1,0
@Um_amador_Iugoslavo,1,0
@morenabelaa,3,0
@DragonCityColeção,1,6
@TarecoAlexandreMorcegoVoador,0,0
@molequin_femboy,0,0
@Ezequiel-t7f5b,1,0
@jadirmoraes5314,1,2
@xX20-Mike-10Xx,3,0
@FilipeOliveirasax,2,0
@EnsinandoEuropeus1,1,0
@MychellAlessondro-c5c,1,0
@JadhyVictória-jv,1,0
@Quaetudoquasenadadaelis,1,0
@robertlima1139,1,0
@elmiton100,1,0
@misaelandrade2007,1,0
@aramis9692,1,0
@EniLuz-x7n,2,2
@TitereRenascidoVergilShelby,1,0
@LuizCarlos-m9q7u,1,0
@T3mist3,1,0
@JoaoPaulo-j2k7g,1,2
@lixovideos69,0,0
@SPACEDOLUIZ,1,0
@eiFelipe7,1,0
@wilianmauat9460,1,0
@AquilesPina-b8k,1,0
@laedio29,1,0
@erikkmateus,1,1
@BarraEwerton,0,0
@flytemeuirmão,1,0
@DanielVictorCarvalhoMachad-t5h,1,0
@Rodrigo-o2v,1,0
@YuriSena-m8e,1,0
@eulglc,1,0
@IgorZinho-k6v5z,1,0
@fatimafernandes8637,1,0
@aguetmariafernanda1312,1,0
@Glauber_aventura,1,0
@veronicaoliveira4255,1,0
@RohisRLajiyAshk,1,0
@victormartinssantos8459,1,0
@prailsonvieira,1,0
@elio-f7v,1,0
@Br_bugado2.0,2,0
@Pandinha-99,1,0
@tataecesar5443,1,0
@santinomorassuti1650,3,3
@vetusdoctrina80,0,0
@matheustranqueira4297,1,0
@AnaElba-qb3oc,1,0
@SamuelRodrigues-t7n,1,0
@srtagraeser9480,1,0
@luisaguilar5637,1,0
@nikitabezrukovs1174,1,0
@THEMANretro-d9e,1,0
@CintiaSouzaMartinusso,1,0
@rodrigogarcez4,1,0
@hendrick-m9l,1,0
@nycollas-e2x,1,0
@dayvid_blox12oficial,2,0
@sabrinamontenegrosoares2489,1,1
@otonieltoni664,1,0
@CaioSilva-b4q,1,0
@marleianhaia3688,1,0
@TheSpaceSkipper,1,0
@euamoacarolvilela,1,0
@Losratudo,1,0
@dyegoeduardosantossilva3659,1,0
@veraoliveira399,1,0
@TheLucasNunes,1,0
@feliperamosdasilva8860,1,1
@alessaff6669,0,0
@717u6,1,0
@LaviniaRodrigues-x8p,1,1
@selfccest,1,0
@eduardosouza902,1,0
@MarlenaSerpicoCarrillo,1,0
@aline4226,1,0
@universodepetrovit8273,1,0
@eloisagarcia7569,2,0
@anacarlaameida9673,1,0
@hppavilionhppavilionhppavi-n5q,1,2
@Kuroshovskivarovikisywi,0,0
@4K_SMITH2F,1,0
@maraihmartins6069,1,0
@kazumiize,1,0
@MatheusSantos-h6u4w,2,3
@ichigoat-k3r,0,0
